system_id,latitude,longitude,elevation_m,azimuth,tilt,dc_capacity_kW,mean_power_generation_kW,performance_ratio
10089,44.726517,-92.86147,240.9161987,180.0,40.0,14.4,4.517240977456398,0.3136972901011387
10090,39.131705,-77.14981,133.0422821,135.0,18.0,24.605,4.500525647933346,0.18291102003386894
10092,32.216326,-110.88511,783.0465698,180.0,30.0,4.725,2.0003159547068763,0.4233472920014553
10093,44.444429,-73.018273,98.47660065,180.0,30.0,6.3,1.1263446861082822,0.17878487081083844
10094,42.318695,-71.42344,57.64004517,135.0,23.0,6.37,1.1980960317603908,0.1880841494129342
10095,47.55318,-122.37593,114.2790909,180.0,40.0,4.8,1.2163661161532198,0.2534096075319208
10096,40.49762,-105.053886,1491.451904,180.0,28.0,5.5,1.6924222853951427,0.3077131427991169
10098,34.232003,-118.24753,507.0137939,135.0,4.0,1.806,0.4632055113589937,0.25648145700940955
10099,42.196144,-71.76272,129.1191864,180.0,26.0,4.14,0.9752703603871236,0.2355725508181458
10101,40.742901,-73.67895,33.91693497,180.0,41.0,4.864,1.25029192604593,0.25705014926931125
10102,38.88106,-76.983248,19.32886505,225.0,0.0,4.935,1.1568049740419368,0.23440830274406016
10103,36.04347,-85.094842,585.9217529,180.0,26.5,4.998,1.2418392811897438,0.24846724313520285
10104,38.684324,-121.06879,243.4949341,180.0,23.0,6.11,2.052495817188732,0.3359240289997925
10105,27.966602,-80.650309,8.121357918,315.0,0.0,6.72,1.2045744849395126,0.17925215549695128
10106,34.290657,-118.536841,422.4050903,180.0,21.0,5.04,1.7789707688453078,0.3529703906439103
10107,21.406393,-157.807548,39.99716949,270.0,0.0,10.8,2.450758182187861,0.2269220539062834
10108,20.813777,-156.294501,849.3543701,225.0,12.0,8.16,2.952839958722438,0.36186764200029875
10109,37.057575,-122.01507,229.5130768,180.0,34.0,5.88,1.8620272722850912,0.3166713048103897
10111,33.639994,-117.60351,282.7453613,225.0,22.0,7.68,2.3072529321774318,0.3004235588772698
10112,37.198875,-121.84287,111.6747589,135.0,26.0,6.0,1.7589810474875467,0.2931635079145911
10114,37.35115,-120.6056,47.00376129,180.0,0.0,3.06,1.016699646878609,0.3322547865616369
10116,35.078246,-106.61747,1577.90918,180.0,12.0,2.4,0.8239464278248214,0.3433110115936756
10117,37.856926,-122.25084,79.42542267,270.0,0.0,4.8,1.3469844008077183,0.2806217501682747
10118,33.179587,-117.24461,125.1211853,270.0,1.0,3.924,1.2726141511352402,0.32431553290908266
10119,40.503746,-111.96327,1380.822632,270.0,30.0,10.29,2.501383104008247,0.24308873702704054
10120,30.811453,-93.116972,49.79487228,180.0,30.0,4.8,1.2912389174149062,0.26900810779477213
10121,42.862193,-73.96317,140.2158508,180.0,0.0,4.25,1.2257699119304326,0.28841644986598414
10122,38.819297,-89.9551,163.3718872,135.0,25.0,5.635,1.594710430530355,0.28300096371434874
10125,40.719249,-73.35829,13.76091576,180.0,21.75,9.88,2.4598714135302036,0.24897483942613394
10128,42.189617,-71.697977,93.57968903,0.0,0.0,6.24,1.5042945392238578,0.2410728428243362
10131,39.885202,-104.88339,1546.370361,180.0,0.0,9.84,2.9641578620151785,0.30123555508284333
10132,40.759156,-82.51118,359.3208618,180.0,45.0,4.928,0.6947108252016434,0.14097216420487893
10133,37.886786,-122.45936,127.8818283,180.0,30.0,7.05,2.528669067250713,0.3586764634398174
10134,32.80225,-117.02431,199.9881897,225.0,9.5,7.44,2.839427310245574,0.3816434556781685
10135,29.87131,-81.29464,0.678874552,180.0,30.0,4.41,1.1797605886679283,0.2675194078612082
10138,38.901811,-76.99097,14.36303139,315.0,0.0,4.14,0.8565311910815693,0.20689159204868823
10139,37.811676,-121.98647,118.557518,225.0,18.0,2.5,1.1230699676311626,0.449227987052465
10140,34.063769,-118.380435,42.90662003,180.0,15.0,6.72,1.6574192841238187,0.24663977442318732
10141,21.338055,-158.02499,10.1350174,180.0,0.0,8.575,3.093479976037569,0.36075568233674277
10142,40.649202,-74.34567,39.07488251,225.0,30.0,6.825,1.3792582678525291,0.20208912349487607
10143,42.20532,-71.162375,56.31416321,180.0,28.0,7.75,1.724028866089893,0.2224553375599862
10146,26.263669,-81.576891,6.42920208,225.0,0.0,10.2,2.7768074280993496,0.27223602236268135
10147,40.33371,-74.58512,28.00676537,180.0,55.0,9.66,1.8524251069368092,0.19176243343031152
10148,44.484038,-73.22126,62.71059036,180.0,23.0,9.31,2.339807882401806,0.2513220067026644
10149,34.469945,-114.27861,301.4727173,180.0,15.0,7.2,3.040065972282008,0.4222313850391678
10150,37.859936,-121.983338,229.5843201,225.0,37.0,9.0,2.4693549468130267,0.2743727718681141
10151,39.9656,-76.17781,162.4112854,180.0,30.0,10.92,2.5595574642863475,0.23439170918373145
10152,41.662281,-73.0482,243.9737091,180.0,45.0,6.3,1.8399477817054197,0.2920552034453047
