Unnamed: 0,ac_power_inv_21799_daily_max,ac_power_inv_21799_daily_mean,ac_energy_inv_21799_daily_sum
2021-10-13,2.007,0.837391304347826,9.645
2021-10-14,7.23,3.5376086956521737,40.695
2021-10-15,6.681,2.9284565217391303,33.684
2021-10-16,7.1240000000000006,2.7926976744186045,30.033
2021-10-17,7.735,3.0511739130434785,35.079
2021-10-18,8.343,2.582913043478261,29.709
2021-10-19,7.288,3.871130434782609,44.514
2021-10-20,7.078,3.732244444444445,41.985
2021-10-21,6.796,3.593288888888889,40.437
2021-10-22,7.768,3.1230666666666664,35.145
2021-10-23,4.9510000000000005,1.7804318181818182,19.593
2021-10-24,7.281,1.955840909090909,21.516
2021-10-25,3.4530000000000003,1.480046511627907,15.912
2021-10-26,2.84,0.8652820512820513,8.442
2021-10-27,9.352,2.206,24.264
2021-10-28,7.0200000000000005,3.4936046511627907,37.563
2021-10-29,8.742,1.616068181818182,17.781
2021-10-30,6.924,2.0940714285714286,21.993
2021-10-31,7.759,2.82293023255814,30.357
2021-11-01,7.259,3.451139534883721,37.095
2021-11-02,4.8870000000000005,1.4603255813953488,15.699
2021-11-03,7.271,3.050767441860465,32.802
2021-11-04,6.914,2.990904761904762,31.401
2021-11-05,7.005,3.63206976744186,39.051
2021-11-06,6.799,3.611142857142857,37.929
2021-11-07,6.9670000000000005,3.108357142857143,32.652
2021-11-08,6.516,3.400428571428572,35.709
2021-11-09,6.2010000000000005,3.168809523809524,33.288
2021-11-10,6.6770000000000005,3.330357142857143,34.977
2021-11-11,5.75,2.3933170731707314,24.537
2021-11-12,3.841,0.7808536585365854,8.006999999999998
2021-11-13,6.543,1.976560975609756,20.265
2021-11-14,6.856,2.08719512195122,21.393
2021-11-15,5.727,1.5889268292682923,16.287
2021-11-16,7.122,2.744073170731708,28.134
2021-11-17,5.206,2.143,21.972
2021-11-18,5.888,2.831560975609756,29.019
2021-11-19,7.521,2.5344,25.35
2021-11-20,6.346,2.85019512195122,29.211
2021-11-21,6.0760000000000005,2.829974358974359,27.594
2021-11-22,2.031,1.0434358974358977,10.17
2021-11-23,7.251,3.134975,31.356
2021-11-24,6.5280000000000005,3.214325,32.154
2021-11-25,5.675,2.396775,23.979
2021-11-26,4.312,0.8851142857142857,7.737
2021-11-27,7.679999999999999,2.9760769230769237,29.016
2021-11-28,0.882,0.40335,4.041
2021-11-29,7.246,2.4381,24.393
2021-11-30,3.443,1.2281315789473686,11.673
2021-12-01,6.135,2.5849230769230767,25.212
2021-12-02,4.751,1.2641842105263157,12.018
2021-12-03,5.782,2.438871794871795,23.778
2021-12-04,5.908,2.8984102564102567,28.266
2021-12-05,6.298,2.406025,24.063
2021-12-06,3.484,0.923054054054054,8.547
2021-12-07,6.479,1.9575384615384617,19.101
2021-12-08,2.218,0.8351891891891892,7.737
2021-12-09,3.738,1.775842105263158,16.878
2021-12-10,4.384,1.5727368421052632,14.94
2021-12-11,0.3609999999999999,0.1717058823529411,1.467
2021-12-12,6.025,2.953368421052632,28.065
2021-12-13,5.773,2.6837435897435897,26.169
2021-12-14,5.854,2.7583333333333337,26.901
2021-12-15,5.5600000000000005,2.2067297297297297,20.427
2021-12-16,5.094,1.7162368421052632,16.317
2021-12-17,5.372,2.2422564102564104,21.87
2021-12-18,1.029,0.3637142857142857,3.18
2021-12-19,5.931,2.134918918918919,19.746
2021-12-20,5.923,2.829076923076923,27.591
2021-12-21,3.456,1.7296052631578949,16.425
2021-12-22,5.793,2.333513513513513,21.591
2021-12-23,5.468,2.174921052631579,20.676
2021-12-24,4.749,1.512258064516129,11.724
2021-12-25,1.312,0.3899999999999999,3.522
2021-12-26,5.961,2.7550512820512822,26.868
2021-12-27,1.271,0.4653243243243243,4.311
2021-12-28,2.981,1.1159459459459458,10.332
2021-12-29,1.052,0.4273783783783784,3.966
2021-12-30,1.136,0.531972972972973,4.926
2021-12-31,3.039,0.9293888888888888,8.375999999999998
